CANTOR,CÓD,TÍTULO,INÍCIO DA LETRA,CART
MARISA MONTE,9847,NÃO É PROIBIDO ,Jujuba bananada pipoca,IMP 14
MARISA MONTE,15026,AQUELA VELHA CANÇÃO ,Quando eu te ligar cantando aquela velha,IMP 23
MARISA MONTE,15371,DE MAIS NINGUÉM ,Se ela me deixou a dor é minha só não é,IMP 25
MARISA MONTE,15414,LENCINHO QUERIDO ,Guardo o lencinho branco que,IMP25
MARISA MONTE,15839,"VERDADE, UMA ILUSÃO ",Eu posso te fazer feliz feliz me sentir também eu posso,IMP28
MARISA MONTE,16176,BORBOLETA ,Borboleta pequenina que vem para nos 30B,@@
MARISA MONTE,16941,ACONTECIMENTO ,Haverá de acontecer 35A,@@
MARISA MONTE,17201,BEM LEVE ,"Bem leve leve releve quem pouse a pele36K,",@@
MARISA MONTE,17815,"FELIZ, ALEGRE E FORTE ",Oque importa se o tempo passou 40K,@@
MARISA MONTE,17388,O AMOR NAO SABE ESPERAR ,Sopra leve e o vento leste encrespa o mar,IMP 37
MARISA MONTE - RODRIGO AMARANTE - DEVENDRA BANHART,15978,NU COM A MINHA MÚSICA ,Penso em ficar quieto um pouquinho 29A,@@
MARISA MONTE E ERASMO CARLOS MARISA MONTE E RODRIGO,9291,NÃO QUERO VER VOCÊ TRISTE ,Sente o céu repara o mar,IMP 13
MARJORI ESTIANO,6839,VOCÊ SEMPRE SERÁ ,Quando a lua tentar me encontrar,BRA
MARJORI ESTIANO,7216,POR MAIS QUE EU TENTE ,Se o vento sopra sem sentido,BRA
MARJORI ESTIANO,7597,ESPIRAIS ,Depois do céu tem outro céu,IMP 11
MARJORI ESTIANO,7653,O JOGO ,Por mais que eu tente eu não consigo e,IMP 11
MARJORI ESTIANO,7690,REFLEXO DO AMOR ,Hoje quando acordei,IMP 11
MARKINHOS MOURA,6335,MEU MEL ,Fica comigo meu mel tire o adeus...,BRA
MARKINHOS MOURA,17011,ANJO AZUL ,Meu anjo azul onde está você 35C,@@
MARLON E MAICON,6280,TA NA CARA ,Pára de fingir...,BRA
MARLON E MAICON,6390,TE PEÇO FICA COMIGO ,Escuta meu amor...,BRA
MARLON E MAICON,6907,CORAÇÃO AVENTUREIRO ,Eu não consigo controlar meu coração…,BRA
MARLON E MAICON,7707,TE DEDICO ESSA CANÇÃO ,Como uma flecha no coração,IMP 11
MARLON E MALCON,6152,POR TE AMAR ASSIM ,Você ficou em min dentro de minha....,BRA
MAROON 5,19011,MOVES LIKE JAGGER ,Oh ah oh... Just shoot for the stars it feels,INT 5
MAROON 5,19038,ONE MORE NIGHT ,You and I go hard at each other like,INT 5
MAROON 5,19055,HARDER TO BREATHE ,How dare you say that my behavior is,INT 5
MAROON 5,19117,SHE WILL BE LOVED ,Beauty queen of only eighteen she,INT 5
MAROON 5,19145,SUNDAY MORNING ,Sunday morning rain is falling,INT 5
MAROON 5,19233,SUGAR I,'m hurtin baby I'm broken down,INT 6
MAROON 5,19373,DAYLIGHT ,Here I am waiting I'll have to leave soon,INT 7
MAROON 5,19521,ANIMALS ,Baby I'm preying on you tonight,INT08B
MAROON 5,19583,LOST STARS ,Please don't see just a boy caught up,INT08C
MAROON 5,20050,MEMORIES ,Here's to the ones that we got,INT11C
MAROON 5,20148,MAPS ,Imiss the conversation of a,INT12A
MAROON 5,20166,MAKES ME WONDER ,Wake up with blood-shot eyes,INT12B
MAROON 5,20214,WON'T GO HOME WITHOUT YOU ,Iasked her to stay,INT12C
MAROON 5,20356,LOST ,Had no connection no faith or direction no,INT13H
MAROON 5 - CARDI B,19895,GIRLS LIKE YOU ,Twenty four hours,INT10C
MAROON 5 - FUTURE,19843,COLD ,Cold enough to chill my bones,INT10B
MAROON 5 - KENDRICK LAMAR,19816,DON'T WANNA KNOW ,Idon't wanna know know know know,INT10A
MAROON 5 - SZA,19779,WHAT LOVERS DO ,Say say say hey hey now baby,INT09D
MAROON 5 - WIZ KHALIFE,19014,PAYPHONE I,'m partying... I'm at a payphone trying to,INT 5
MAROTO,2862,É NÓIS FAZE PARAPAPÁ ,Énóis fazer parapapá turma... Cê me provoca 22C,@@
MARQUINHOS GOMES,5065,ELE NÃO DESISTE DE VOCÊ ,Musica Extra,@@
MARRONE,15329,DOCE DESEJO ,Tá no jeito de olhar,IMP 25
MARRONE YASMIN SANTOS - GUSTAVO,17562,CICLO VICIOSO ,Amo sofro traio de novo 39A,@@
MARS,2583,BILLIONAIRE ,Iwanna be a billionaire so frickin bad,EUA 4
MARSHMELLO - ANNE MARIE,19763,FRIENDS ,Ohhh oh oh... You say you love me,INT09D
MARSHMELLO - BASTILLE,19924,HAPPIER ,Lately I've been I've been thinking,INT10D
MART'NÁLIA,1075,ELA É MINHA CAR,Acausa reboliço aonde passa,IMP 15
MART'NÁLIA,1105,CABID,Ese eu fingir e sair por aí na,IMP 15
MART'NÁLIA,1107,"DON'T WORRY, BE HAPP",Yhere's a little song i wrote,IMP 15
MART'NÁLIA,6894,ARPOADOR ,Tava passeando no Arpoador..,BRA
MART'NÁLIA,15053,NAMORA COMIGO ,Hoje eu estou sozinha você está na minha,IMP 23
MART'NÁLIA,15833,PRA QUE CHORAR ,Pra que chorar se o sol já vai raia e o dia vai amanhecer,IMP28
MARTINHA,6918,EU TE AMO MESMO ASSIM ,Vieram me contar…,BRA
MARTINHA,7354,EU DARIA A MINHA VIDA ,Eu daria a minha vida para te,BRA
MARTINHO DA VILA,1628,SAMBA DA CABROCHA BAMBA ,Samba da cabrocha bamba,IMP 18
MARTINHO DA VILA,3332,MULHERES ,Já tive mulheres de todas as cores,BRA
MARTINHO DA VILA,3409,"CANTA, CANTA MINHA GENTE ","Canta, canta minha gente deixa tristeza",BRA
MARTINHO DA VILA,3560,"DEVAGAR, DEVAGARINHO ","Édevagar, é devagar",BRA
MARTINHO DA VILA,3960,MINHA E TUA ,Deus abençoa por quê somos o sol,BRA
MARTINHO DA VILA,4206,O SAMBA DO TRABALHADOR ,"Na segunda-feira, não vou trabalhar...",BRA
MARTINHO DA VILA,4290,PRA PODER TE AMAR ,Oamor não tem cor o amor não...,BRA
MARTINHO DA VILA,4481,MADALENA DO JUCU ,"Madalena, Madalena você é meu bem querer...",BRA
MARTINHO DA VILA,6052,CASA DE BAMBA ,Na minha casa todo mundo é bamba...,BRA
MARTINHO DA VILA,6259,HOJE TEM AMOR ,Já melhorou meu bem já tá de bom...,BRA
MARTINHO DA VILA,6504,PRA QUE DINHEIRO ,Dinheiro pra que dinheiro…,BRA
MARTINHO DA VILA,6853,FEITIÇO DA VILA ,Quem nasce lá na Vila,BRA
MARTINHO DA VILA,15025,AQUARELA BRASILEIRA ,Vejam esta maravilha de cenário,IMP 23
MARTINHO DA VILA,15122,GRANDE AMOR ,Num grande amor sempre tem melancolia,IMP 23
MARTINHO DA VILA,17679,RODA CIRANDA ,Ciranda de roda de samba de roda da vida 39M,@@
MARTINHO DA VILA,4333,PRO AMOR RENDER ,Faça tudo o que tem de fazer...,BRA
MARTINHO DA VILA,6667,O PEQUENO BURGUÊS ,Felicidade passei no vestibular...,BRA
MARTINHO DA VILA,6970,QUEM É DO MAR NÃO ENJOA ,Quem é do mar não enjoa não…,BRA
MARTINHO DA VILA,7106,DISRITMIA ,Eu quero me esconder debaixo,BRA
MARTINHO DA VILA,7243,SEGURE TUDO ,Segure tudo que for conquistado,BRA
MARTINHO DA VILA,7276,VOCÊ NÃO PASSA DE UMA MULHER,Mulher preguiçosa,BRA
MARTINHO DA VILA,15413,LEMBRANÇAS ,Lembro um olhar lembro um lugarteu,IMP2569
MARTINHO DA VILA E SIMONE,6921,EX-AMOR ,Ex-amor Gostaria que tu…,BRA
MARVILLA - BELO,17700,VENDAVAL ,Fecha a porta e deita no meu colo 39P,@@
MARVIN GAYE,4800,WHAT’S GOING ON ,"Mother, mother, there’s too many of you...",EUA
MARVIN GAYE,9168,SEXUAL HEALING ,Oh baby now let's get down tonight…,EUA
MARVIN GAYE,19437,LET'S GET IT ON I,'ve been really tryin' baby,INT 7
MARVIN GAYE - TAMMI TERRELL,19323,AIN'T NO MOUNTAIN HIGH ,Listen baby ain't no mountain high,INT 7
MARVVILA - PÉRICLES,17792,CANÇÃO DA DESPEDIDA ,Essa é a canção da despedida 40H,@@
MARÍLIA BARBOSA,9300,O CIRCO ,Vai vai vai começar a brincadeira,IMP 13
MARÍLIA BARBOSA,9411,CASO VOCÊ CASE ,Caso você case não escreva a nota,IMP 13
MARÍLIA MENDONÇA,75386,CUMBIA DO AMOR ,Musica Extra,@@
MARÍLIA MENDONÇA,75387,NEM É BOM LEMBRAR ,Musica Extra,@@
MARÍLIA MENDONÇA,17343,CALCULISTA ,Agente terminou já faz um tempão,IMP 37
MARÍLIA MENDONÇA,17309,VAI LÁ EM CASA HOJE ,Vou chamar ela pra ver um filme lá em casa,IMP 37
MARÍLIA MENDONÇA,15971,INFIEL ,Isso não é uma disputa 29A,@@
MARÍLIA MENDONÇA,16041,ALÔ PORTEIRO ,Pegue suas coisas que estão aqui 29C,@@
MARÍLIA MENDONÇA,16056,COMO FAZ COM ELA ,Vai se preparando que eu não vou ter paciência 29C,@@
MARÍLIA MENDONÇA,16112,SENTIMENTO LOUCO ,Só queria mais um pouco desse sentimento louco 29D,@@
MARÍLIA MENDONÇA,16129,EU SEI DE COR ,Éjá tá ficando chato né 30A,@@
MARÍLIA MENDONÇA,16136,MEU CUPIDO É GARI ,Omeu cupido é gari só me traz lixo 30A,@@
MARÍLIA MENDONÇA,16165,FOLGADO ,Não venha não eu vivo do jeito que 30B,@@
MARÍLIA MENDONÇA,16246,AMANTE NÃO TEM LAR ,Só vim me desculpar eu não vou demorar,30D
MARÍLIA MENDONÇA,16313,ENTRE QUATRO PAREDES ,Sabe nosso problema é igualdade 31A,@@
MARÍLIA MENDONÇA,16333,TRANSPLANTE ,Outra vez a sua boca fala e o coração 31B,@@
MARÍLIA MENDONÇA,16375,AUSÊNCIA ,Eiê iê êêê ôu... Sei bem o que te faz bem 31C,@@
MARÍLIA MENDONÇA,16404,ESTRANHO ,Deixa eu perguntar uma coisa 31D,@@
MARÍLIA MENDONÇA,16502,CIUMEIRA ,No começo eu entendia mas era só cama 32B,@@
MARÍLIA MENDONÇA,16521,BEM PIOR QUE EU ,Mente que vai dar uma volta e vem me ver 32C,@@
MARÍLIA MENDONÇA,16550,TODO MUNDO VAI SOFRER ,Agarrafa precisa do copo o copo precisa 32C,@@
MARÍLIA MENDONÇA,16568,SERENATA ,Foi chegando e chegou 32D,@@
MARÍLIA MENDONÇA,16602,BEBI LIGUEI ,Acordei mais uma vez embriagado33A,@@
MARÍLIA MENDONÇA,16647,PASSA MAL ,Quando me deixou eu nem sonhava32B,@@
MARÍLIA MENDONÇA,16688,QUATRO E QUINZE ,Quatro e quinze vem falar comigo 33C,@@
MARÍLIA MENDONÇA,16723,GRAVETO ,Vou ser sincero com você 33D,@@
MARÍLIA MENDONÇA,16752,ABANDONO DE INCAPAZ ,Ele parou na porta olhou nos meus olhos 33D,@@
MARÍLIA MENDONÇA,16946,O QUE FALTA EM VOCÊ SOU EU ,Falando em saudade de novo eu 35A,@@
MARÍLIA MENDONÇA,17025,DEPRÊ ,Tá errado hoje deveria ser feriado 35C,@@
MARÍLIA MENDONÇA,17108,TROCA DE CALÇADA ,Se alguém passar por ela fique em silêncio 36A,@@
MARÍLIA MENDONÇA,17124,FOI POR CONVENIÊNCIA ,Bonito não é nem chega aos pés 36B,@@
MARÍLIA MENDONÇA,17179,ROSA EMBRIAGADA ,Uma rosa tão bonita dentro de uma ga36G,@@
MARÍLIA MENDONÇA,17228,NOSSO AMOR ENVELHECEU ,"Nosso amor envelheceu tá resmungando36M,",@@
MARÍLIA MENDONÇA - GAAB,16822,INTENÇÃO ,Desculpa o meu tom de voz 34B,@@
MARÍLIA MENDONÇA - HENRIQUE E JULIANO,16098,IMPASSE ,Eu só queria entender seus pensamentos 29D,@@
MARÍLIA MENDONÇA - LÉO SANTANA - DIDÁ MARILIA MENDONCA - MAIARA E,16691,APAIXONADINHA ,Sabe por que fico mandando mensagem33C,@@
MASKAVO,2702,ASA,Salalauê... cê parece um anjo só que não,IMP 21
MASKAVO,9350,UM ANJO DO CÉU ,Um anjo do céu que trouxe pra mim,IMP 13
MASKAVO,15444,A NOSSO FAVOR ,Quando estou junto a você,IMP25
MASKAVO,15454,É MUITO MELHOR ,De longe eu sinto o vento me dizendo,IMP25
MASKAVO,15458,FOLHAS SECAS ,As folhas secas vão caindo,IMP25
MASKAVO,15555,QUANDO O SOL NASCER ,Quando o sol nascer e quando ele cres,IMP26
MASKAVO,15786,QUERO VER ,Eu não fiz nada o dia inteiro,IMP 27
MASTRUZ COM LEITE,3158,MEU VAQUEIRO MEU PEÃO ,Lá vem montado em seu alazão,BRA
MASTRUZ COM LEITE,3676,OLHA PRO CÉU ,Olha pro céu meu amor vê,BRA
MASTRUZ COM LEITE,3689,VOU TE MATAR DE CHEIRO ,Tô doidinha pra me deitar naquela cama,BRA
MASTRUZ COM LEITE,3885,MOTO TÁXI ,Tenho uma moto táxi pra fazer,BRA
MASTRUZ COM LEITE,4336,RETRATO DE UM FORRO ,Quando tu balança dá um...,BRA
MASTRUZ COM LEITE,6019,ME FAZ UM DENGO ,Êta peneirado gostoso é só no...,BRA
MASTRUZ COM LEITE,6358,TATUAGEM ,Pode milhões e milhões de quilômetros...,BRA
MASTRUZ COM LEITE,6953,NOITE FRIA ,Noite fria penso em você…,BRA
MASTRUZ COM LEITE,7193,NHANHAR ,Manere meu bem manere o teu jeito de,BRA
MASTRUZ COM LEITE,7492,ABRAÇAR ,Estou tão triste sozinha,IMP 11
MASTRUZ COM LEITE,15235,MEIO DIA ,Escorro o suor do meio dia assobiando a melodia imp 24,@@
MATANZA,15248,ELA ROUBOU MEU CAMINHÃO ,Ela roubou meu caminhão imp 24,@@
MATCH BOX TWENTY,4919,IF YOU'RE GONE ,Ithink I've already lost you,USA
MATCHBOX TWENTY,9070,UNWELL ,All day staring at the ceiling,USA
MATCHBOX TWENTY,19567,DISEASE ,Feels like you made a mistake,INT08C
MATCHBOX TWENTY,19792,PUSH ,She said I don't know if I've ever been good,INT09D
MATEUS,17265,MARCA EVIDENTE ,Sentimento dividido no tempo,ISRAEL E RODOLFFO - JORGE E perdido IMP 37
MATEUS,15241,A CARNE É FRACA ,Toda noite saio com os amigos imp 24,@@
MATEUS,17263,FALA A VERDADE ,Tá tudo assim tudo fora do esperado,IMP 37
MATEUS,15462,GUERRA FRIA ,Iê iê ê...Eu odeio quando você,IMP25
MATEUS BRUNO E MARRONE - WESLEY,16579,SURTO DE AMOR ,Ela tava tão linda mesmo abrançando ele 32D,@@
MATEUS E CRISTIANO,7988,LIGA NÃO ,Te disseram que me viram com um outro,IMP 12
MATEUS E CRISTIANO,9874,SE É PRA FALAR DE AMOR ,Se é pra falar de amor eu sou mesmo a,IMP 14
MATEUS E KAUAN,16085,A ROSA E O BEIJA-FLOR ,Quando você fica ao lado de uma pessoa 29D,@@
MATEUS FELIPE ARAÚJO - MARÍLIA,16551,CHAVE CÓPIA ,Não vou virar a página o certo é rasgar 32C,@@
MATEUS ISRAEL E RODOLFFO - MAIARA E,17725,PERDOOU NADA ,Voce ouviu da minha boca 40A,@@
MATEUSHEUS E KAUAN - MARI,17589,PACTOS ,Eu nem dormi pensando em tudo o que 39C,@@
MATHEUS E KAUAN,5071,NOSSO SANTO BATEU ,Musica Extra,@@
MATHEUS E KAUAN,5155,BATOM NA CAMISA ,Musica Extra,@@
MATHEUS E KAUAN,5196,TE ASSUMI PRO BRASIL ,Musica Extra,@@
MATHEUS E KAUAN,5206,ANTIDOTO ,Musica Extra,@@
MATHEUS E KAUAN,15953,QUE SORTE A NOSSA ,Diz que pensa tanto em mim,IMP28
MATHEUS E KAUAN,16019,O NOSSO SANTO BATEU ,Às vezes acho que devia te dizer 29B,@@
MATHEUS E KAUAN,16178,DECIDE AÍ ,Orelógio tá girando tá girando tá girando 30B,@@
MATHEUS E KAUAN,16238,TE ASSUMI PRO BRASIL ,Ser feliz pra mim não custa caro 30C,@@
MATHEUS E KAUAN,16566,NESSAS HORAS ,Você de lá e eu de cá 32D,@@
MATHEUS E KAUAN,16624,CONSÓRCIO ,Você se arruma pra me encontrar 33A,@@
MATHEUS E KAUAN,16766,LITRÃO ,Nao sou de fazer ameaca 34A,@@
MATHEUS E KAUAN,16850,SER HUMANO OU ANJO ,Quantas vezes tentei já caí e levantei 34C,@@
MATHEUS E KAUAN,16885,NEM DOEU ,Quando cê pediu pra terminar 34D,@@
MATHEUS E KAUAN,16953,OITAVA DOSE ,Vou sair pra beber hoje eu não tô 35A,@@
MATHEUS E KAUAN,16995,É PROBLEMA ,Tô sentado no boteco 35B,@@
MATHEUS E KAUAN,17155,ENTÃO TOMA ,Sextou com uma mensagem sua dizendo36E,@@
MATHEUS E KAUAN,17283,EXPECTATIVA X REALIDADE ,Eu vou resumir minha saudade em expectativa e,IMP 37
MATHEUS E KAUAN,17533,BASIQUINHO ,Se quer um conselho vaza que ainda tá em,IMP 38
MATHEUS E KAUAN,17575,EX AMIGA ,Sua amiga te falou beija outro que passa 39B,@@
MATHEUS E KAUAN,17626,EXCLUSIVIDADE ,Efaz uma semana que eu quero te ver 39G,@@
MATHEUS E KAUAN,16306,DEIXA ELA BEIJAR ,Ela tá a fim de zoar com a minha cara 31A,@@
MATHEUS E KAUAN,16337,AO VIVO E A CORES ,Por que você não sai daí e vem aqui 31B,@@
MATHEUS E KAUAN - JORGE E MATEUS MATHEUS E KAUAN - JORGE E,16818,QUARTA CADEIRA ,Tá viciando outra boca como fez com a minha 34B,@@
MATHEUS E KAUAN - MARÍLIA MENDONÇA,16760,VOU TER QUE SUPERAR ,Fui bobo imaturo demais deixei escapar 33D,@@
MATHEUS E KAUAN - TIERRY,17210,VICIADO ,"Fiz um retrato falado e entreguei pra polícia 36K,",@@
MATHEUS E KAUAN - XAND AVIÃO,17735,MEIA-VOLTA ,Eu me pego quase o tempo todo lembrando do 40B,@@
MATHEUS E KAUAN GUILHERME E BENUTO - XAND,17684,ESSE B.O. E MEU ,Quem perdeu que chore e quem achar que use 39N,@@
MATHEUS E KUAN,5047,A ROSA E O BEIJA-FLOR ,Musica Extra,@@
MATHEUS FERNANDES,5222,QUASE ,Musica Extra,@@
MATHEUS FERNANDES,10072,BABY ME ATENDE ,Musica Extra,8a
MATHEUS FERNANDES,17701,"ALTAS LOCURINHAS (UNI, DUNI, TE) ",Vem o vem jogando gostosinho pra mim 39Q,@@
MATHEUS FERNANDES - DILSINHO,17212,BABY ME ATENDE ,"Abandonado dentro de um apartamento36L,",@@
MATHEUS FERNANDES - LUAN SANTANA MATHEUS FERNANDES - XAND,17773,DUAS CAMAS ,Eu sei que você tá na melhor fase da sua vida 40F,@@
MATHEUS FERNANDES FERNANDO E SOROCABA-LUAN,17554,EMOCIONADA ERRADA ,Sabe aquela pessoa que não vale nada 38R,@@
MATHEUZINHO - MC KEVINHO - RAÍ SAIA RODADA,17194,NÃO ME TIRA DA SUA BOCA ,Tá espalhando que me cancelou 36J,@@
MATHEUZINHO - MENOR NICO,17158,O GOLPE TÁ AÍ ,Ele não presta abre teu olho 36E,@@
MATOGROSSO E MATHIAS,15601,24 HORAS DE AMOR ,Quando acordei pela manhã senti o perfume,IMP26
MATOGROSSO E MATHIAS,16685,FRENTE A FRENTE ,Nós precisamos conversar 33C,@@
MATOGROSSO E MATHIAS,16880,SORTE TEM QUEM ACREDITA ,Não adianta um pé de coelho no bolso 34C,@@
MATOGROSSO E MATHIAS,17367,PELE DE MACA ,Olhos de paixão labios de carmim,IMP 37
MATOGROSSO E MATHIAS,17406,FOI PENSANDO EM VOCE ,Foi pensando em voce que escrevi a minha,IMP 38
MATOGROSSO E MATHIAS,17502,ENQUANTO O SOL BRILHAR ,Uma estrela ainda brilha em nosso olhar,IMP 38
MATOGROSSO E MATHIAS - LUAN MATOGROSSO E MATHIAS,17785,MEMÓRIAS ,Aminha memória reprisa você tal qual uma tela 40G,@@
MATOGROSSO E MATIAS,6366,DE IGUAL PRA IGUAL ,Você mentiu...,BRA
MATOGROSSO E MATIAS,6717,TENTEI TE ESQUECER ,Ah como quero te encontrar novamente...,BRA
MATOGROSSO E MATIAS,7390,NA HORA DO ADEUS ,Na hora do adeus você olhou,BRA
MATOGROSSO E MATIAS,7602,EU ME PERDI ,Eu sei que se você estiver me ouvindo,IMP 11
MATT MONTO,4662,WALK AWAY ,Walk away please go before you,EUA
MATT SIMONS,20182,CATCH & RELEASE ,There's a place I go to,INT12B
MATTOS NASCIMENTO,5537,FORTE E TREMENDO EVAN,,EVAN04D
MATTOS NASCIMENTO,5567,QUANDO DESCE O ESPIRITO SANTO EVAN,,EVAN04D
MATTOS NASCIMENTO,5570,QUEM PODE VER? EVAN,,EVAN04D
MATTOS NASCIMENTO,5587,SOU DE DEUS EVAN,,EVAN04D
MAURICIO E MAURI,5141,SEMPRE SEU HOMEM ,Musica Extra,@@
MAURICIO MANIERI,6088,BOTA PRA MEXER ,"Bota pra mexer, mexer....",BRA
MAURICIO MANIERI,6434,SE QUER SABER ,Te prometi nunca te deixar....,BRA
MAURICIO MANIERI,15537,HEY BROTHER ,Hey brother estive pensando tanto em você,IMP26
MAURICIO MANIERI,15792,SUA CANÇÃO (YOUR SONG) ,Tenho um sentimento guardado em mim,IMP 27
MAURO CELSO,2889,FAROFA FA ,Comprei um quilo de farinha pra fazer farofa 22C,@@
MAURO CELSO,9403,BILU TETÉIA ,Quando eu era criança mamãe dizia,IMP 13
MAURÍCIO E MAURI,7645,NAMORO ESCONDIDO ,Namoro bom é namoro escondido,IMP 11
MAURÍCIO MANIERI,4163,MINHA MENINA ,Vem ser minha menina...,BRA
MAURÍCIO MANIERI,4264,BEM QUERER ,Uh baby eu ontem tive um sonho ...,BRA
MAURÍCIO MANIERI,4407,PENSANDO EM VOCÊ ,Meu amor hoje eu acordei...,BRA
MAURÍCIO MANIERI,4496,TE QUERO TANTO ,Chubiduba...Nunca imaginei...,BRA
MAURÍCIO MANIERI,7100,DEIXA ROLAR ,Cadê meus camaradas,BRA
MAURÍCIO MANIERI,15331,ERA SÓ PRA SER ,Era só pra ser diversão era só pra se,IMP 25
MAURÍCIO MATAR,9497,NOSSA HISTORIA DE AMOR ,Você comigo aqui nesse lugar,IMP 13
MAURÍCIO MATTAR,3496,TEU CAFUNÉ ,Amor me espere daqui a pouco eu vou,BRA
MAURÍCIO MATTAR,3628,MUITO ROMÂNTICO ,Eu tenho andado tão calado,BRA
MAURÍCIO MATTAR,3636,RUMOS DO CORAÇÃO ,Ah! Se eu pudesse ao menos sair de mim,BRA
MAURÍCIO MATTAR,3849,NADA APAGA ESSA PAIXÃO ,Como eu queria te encontrar mais uma vez,BRA
MAURÍCIO MATTAR,4048,PRA FICAR CONTIGO ,Ai que vontade de te ver de novo,BRA
MAURÍCIO MATTAR,4249,QUEM MANDOU!.. ,Quem mandou você gostar de mim...,BRA
MAX VIANNA,1355,CANÇÕES DE RE,Ise eu fosse algum rei fosse o teu sen,IMP17
MAX VIANNA,1467,"SAI DAQUI, TRISTEZ",Aeu ontem falei pra você,IMP17
MAYCK E LYAN,7730,VOCÊ SÓ ME FAZ FELIZ ,Énesse sonho que eu me encontro,IMP 11
MAYSA,3182,O BARQUINHO ,Dia de luz festa do sol,BRA
MAYSA,6771,DINDI ,Céu... tão grande é o céu...,BRA
MAYSA,7928,COMO DOIS MENINOS ,Como dois meninos,IMP 12
MAYSA,6616,MEU MUNDO CAIU ,Meu mundo caiu e me fez ficar assim...,BRA
MAÍRA CHARKEN,9404,BONDE DO FUNK AXÉ ,Pegou um pegou geral no bonde do funk,IMP 13
MC BABI,1194,ANJO DA MADRUGAD,Auh uh uh uh uh uh uh,IMP 16
MC BIEL & LUDMILLA,5123,MELHOR ASSIM ,Musica Extra,@@
MC BRUNINHO,5342,JOGO DO AMOR ,Musica Extra,@@
MC DOM JUAN,5248,LEI DO RETORNO ,Musica Extra,@@
MC G15,5161,DEU ONDA ,Musica Extra,@@
MC GUI,15582,O BONDE PASSOU ,Obonde passou as novinha observou,IMP26
MC GUI,15678,SONHAR ,Não nasci na rua mas me joguei nela,IMP 27
MC GUI,15848,MATA ESSA SAUDADE ,Se todo dia eu te chamo é pra tentar explicar,IMP28
MC GUIMÊ - EMICIDA,15551,PAÍS DO FUTEBOL ,No flow por onde a gente passa é show,IMP26
MC JOÃO MC KEKEL - MUMUZINHO -,17232,BAILE DE FAVELA ,"Que ela veio quente e hoje eu tô fervendo36N,",@@
MC KEVIN - GUSTTAVO LIMA,16520,SALVOU MEU DIA ,Eu tô com pressa vontade louca 32B,@@
MC KEVIN O CHRIS,17349,TIPO GIN (E ELA TÁ MOVIMENTANDO) ,Sua graça e sua energia é a coisa mais linda,IMP 37
MC KEVINHO,5237,ENCAIXA ,Musica Extra,@@
MC KEVINHO,5245,OLHA EXPLOSÃO ,Musica Extra,@@
MC KEVINHO,5250,TÔ APAIXONADO NESSA MINA ,Musica Extra,@@
MC KEVINHO,16359,TA TUM TUM ,Hoje ela saiu de casa só pensando em mexer 31B,@@
MC KEVINHO,16838,TE GUSTA ,Ela me desafiou cheia de marra na pista 34B,@@
MC KEVINHO,17274,O GRAVE BATER ,Éo novo hit do verão pra geral curtir,IMP 37
MC KEVINHO - MC KEKEL,16427,O BEBÊ ,Alô por que você não me atendeu 31D,@@
MC KEVINHO - MC PEDRINHO,17516,LOUCA ,Essa é pra você que quer,IMP 38
MC KEVINHO - TIERRY,17044,BRUNINHA ,Não consigo ficar longe de você 35D,@@
MC KORINGA,15292,DANÇA SENSUAL ,Eu gosto dessa dança sensual que faz imp 24,@@
MC LAN,5174,RABETÃO ,Musica Extra,@@
MC LAN,5249,SUA AMIGA VOU PEGAR ,Musica Extra,@@
MC LEOZINHO,7239,SE ELA DANÇA EU DANÇO ,Se ela dança eu danço se ela dança e,BRA
MC LIVINHO,5151,CHEIA DE MARRA ,Musica Extra,@@
MC MARCINHO,17744,GAROTA NOTA 100 (TE CUIDA MEU BEM) ,Hoje eu vim para poder falar para poder contar 40C,@@
MC MARCINHO,17768,RAP DO SOLITÁRIO ,Quando estava triste o meu coração 40E,@@
MC MENOR HR E MC MENOR SG,75308,EVOQUE PRATA ,Musica Extra,@@
MC NANDINHO,5121,MALANDRAMENTE ,Musica Extra,@@
MC PERLLA,7469,TREMENDO VACILÃO ,Tira tchuru tira tchuru ou ah,BRA
MC PERLLA,7962,EU VOU ,Todas as meninas pensam em se divertir,IMP 12
MC PH,75388,OS BICO TAO SE PERGUNTANDO ,Musica Extra,@@
MC ROGERINHO,10031,SÓ VOCÊ ,Musica Extra,@@
MC RYAN SP MC DANIEL,75309,NAMORA AÍ ,Musica Extra,@@
MC SAPÃO,15439,TÔ TRANQUILÃO ,Que batida é essa que na balada é,IMP25
MC SAPÃO,16040,VOU DESAFIAR VOCÊ ,Vou desafiar você você diz que sabe dançar 29B,@@
MC ZAAC,5182,VAI EMBRAZANDO ,Musica Extra,@@
MEDUZA - DERMOT KENNEDY,20546,PARADISE ,Hmm-hmm... In the fading light hearts collide,INT14L
MEGADETH,19701,I THOUGHT I KNEW IT ALL ,Somewhere there's a reason why thing,INT09B
MEGH STOCK,1363,INVEJ,Ao seu sorriso sempre foi tão cativant,IMP17
MEGH STOCK,1847,CADERNO DE RISCOS ,Quantos vícios vou deixar,IMP20
MEGH STOCK,1930,SOFÁ EMPRESTADO ,Pra sair desse tormento,IMP20
MEGHAN TRAINOR,19201,ALL ABOUT THAT BASS ,Because you know I'm all about that bass,INT 6
MEGHAN TRAINOR,20598,MADE YOU LOOK ,Icould have my Gucci on,INT14R
